timestamp,id_mercado,vig_pct,momios_1x2,probs_imp_pct,ev_ejemplo,senal
2026-06-26T23:03:41.901395,882043835,12.54,1.70|3.65|3.80,58.8%|27.4%|26.3%,0.277,🟢 +EV
2026-06-26T23:04:11.905628,882043835,12.54,1.70|3.65|3.80,58.8%|27.4%|26.3%,0.277,🟢 +EV
2026-06-26T23:04:41.910530,882043835,12.54,1.70|3.65|3.80,58.8%|27.4%|26.3%,0.277,🟢 +EV
2026-06-26T23:05:11.913189,882043835,12.54,1.70|3.65|3.80,58.8%|27.4%|26.3%,0.277,🟢 +EV
2026-06-26T23:05:41.917165,882043835,12.54,1.70|3.65|3.80,58.8%|27.4%|26.3%,0.277,🟢 +EV
2026-06-26T23:06:11.926838,882043835,12.54,1.70|3.65|3.80,58.8%|27.4%|26.3%,0.277,🟢 +EV
2026-06-26T23:06:41.930726,882043835,12.54,1.70|3.65|3.80,58.8%|27.4%|26.3%,0.277,🟢 +EV
2026-06-26T23:07:11.937635,882043835,12.54,1.70|3.65|3.80,58.8%|27.4%|26.3%,0.277,🟢 +EV
2026-06-26T23:07:41.943127,882043835,12.54,1.70|3.65|3.80,58.8%|27.4%|26.3%,0.277,🟢 +EV
2026-06-26T23:08:11.950457,882043835,12.54,1.70|3.65|3.80,58.8%|27.4%|26.3%,0.277,🟢 +EV
2026-06-26T23:08:41.954700,882043835,12.54,1.70|3.65|3.80,58.8%|27.4%|26.3%,0.277,🟢 +EV
2026-06-26T23:09:11.961773,882043835,12.54,1.70|3.65|3.80,58.8%|27.4%|26.3%,0.277,🟢 +EV
2026-06-26T23:09:41.966076,882043835,12.54,1.70|3.65|3.80,58.8%|27.4%|26.3%,0.277,🟢 +EV
2026-06-26T23:10:11.973528,882043835,12.54,1.70|3.65|3.80,58.8%|27.4%|26.3%,0.277,🟢 +EV
2026-06-26T23:10:41.982325,882043835,12.54,1.70|3.65|3.80,58.8%|27.4%|26.3%,0.277,🟢 +EV
2026-06-26T23:11:11.996676,882043835,12.54,1.70|3.65|3.80,58.8%|27.4%|26.3%,0.277,🟢 +EV
2026-06-26T23:11:42.004688,882043835,12.54,1.70|3.65|3.80,58.8%|27.4%|26.3%,0.277,🟢 +EV
2026-06-26T23:12:12.014369,882043835,12.54,1.70|3.65|3.80,58.8%|27.4%|26.3%,0.277,🟢 +EV
